@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %17s "test_CRYRING.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "12/03/21"
@ TIME             %08s "12.55.04"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "SF4"               "SEXTUPOLE"                     33.184                0.2                  0       -14.98332043                  0       -5.593843394       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                         33.534               0.35                  0       -14.80832043                  0       -5.896952285       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DM8"               "RBEND"                    34.16215091       0.6281509143       0.5235987756       -14.36920712                  0       -6.336065596       -4.188790205                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                          38.08        3.917849086                  0       -10.97625028                  0       -8.294990139       -4.188790205                  0                  0                  0          0          0                  0                  0 ""                 
 "DM9"               "RBEND"                    38.70815091       0.6281509143       0.5235987756       -10.37641034                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_29"          "DRIFT"                         39.316       0.6078490857                  0       -9.768561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QF9"               "QUADRUPOLE"                    39.599              0.283                  0       -9.485561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_30"          "DRIFT"                          40.49              0.891                  0       -8.594561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5"               "QUADRUPOLE"                    40.773              0.283                  0       -8.311561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_31"          "DRIFT"                          40.84              0.067                  0       -8.244561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "SD5"               "SEXTUPOLE"                      41.04                0.2                  0       -8.044561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_32"          "DRIFT"                         41.664              0.624                  0       -7.420561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QF10"              "QUADRUPOLE"                    41.947              0.283                  0       -7.137561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_33"          "DRIFT"                         42.014              0.067                  0       -7.070561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "SF5"               "SEXTUPOLE"                     42.214                0.2                  0       -6.870561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_34"          "DRIFT"                         42.564               0.35                  0       -6.520561255                  0       -8.455716766        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DM10"              "RBEND"                    43.19215091       0.6281509143       0.5235987756       -5.920721317                  0       -8.294990139       -5.235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_35"          "DRIFT"                          47.11        3.917849086                  0       -2.527764481                  0       -6.336065596       -5.235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DM11"              "RBEND"                    47.73815091       0.6281509143       0.5235987756        -2.08865117                  0       -5.896952285       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_36"          "DRIFT"                         48.346       0.6078490857                  0       -1.784726627                  0       -5.370539535       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "QF11"              "QUADRUPOLE"                    48.629              0.283                  0       -1.643226627                  0       -5.125454346       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_37"          "DRIFT"                          49.52              0.891                  0       -1.197726627                  0       -4.353825711       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6"               "QUADRUPOLE"                    49.803              0.283                  0       -1.056226627                  0       -4.108740522       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_38"          "DRIFT"                          49.87              0.067                  0       -1.022726627                  0        -4.05071682       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "SD6"               "SEXTUPOLE"                      50.07                0.2                  0       -0.922726627                  0       -3.877511739       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_39"          "DRIFT"                         50.694              0.624                  0       -0.610726627                  0       -3.337111887       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "QF12"              "QUADRUPOLE"                    50.977              0.283                  0       -0.469226627                  0       -3.092026698       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_40"          "DRIFT"                         51.044              0.067                  0       -0.435726627                  0       -3.034002996       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "SF6"               "SEXTUPOLE"                     51.244                0.2                  0       -0.335726627                  0       -2.860797915       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_41"          "DRIFT"                         51.594               0.35                  0       -0.160726627                  0       -2.557689024       -5.759586532                  0                  0                  0          0          0                  0                  0 ""                 
 "DM12"              "RBEND"                    52.22215091       0.6281509143       0.5235987756  -1.817990203e-014                  0       -1.957849086       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_42"          "DRIFT"                          54.18        1.957849086                  0  -1.634790636e-014                  0  -4.440892099e-016       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "CRYF$END"          "MARKER"                         54.18                  0                  0  -1.634790636e-014                  0  -4.440892099e-016       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
