@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %13s "test_TSR.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "29/03/21"
@ TIME             %08s "11.18.22"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_24"          "DRIFT"                        48.3125             1.1525                  0       -1.381577471                  0        -6.56471518       -5.497787144                  0                  0                  0          0          0                  0                  0 ""                 
 "QF42"              "QUADRUPOLE"                   48.6375              0.325                  0       -1.151767767                  0       -6.334905476       -5.497787144                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                          49.79             1.1525                  0      -0.3368272016                  0        -5.51996491       -5.497787144                  0                  0                  0          0          0                  0                  0 ""                 
 "AM42"              "SBEND"                    50.69320789       0.9032078879       0.7853981634  -2.869926519e-014                  0       -4.706792112       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                         51.715        1.021792112                  0  -2.807194063e-014                  0             -3.685       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "QF43"              "QUADRUPOLE"                     52.04              0.325                  0  -2.787240838e-014                  0              -3.36       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                         52.475              0.435                  0  -2.760534213e-014                  0             -2.925       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "QD42"              "QUADRUPOLE"                      52.8              0.325                  0  -2.740580988e-014                  0               -2.6       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                           55.4                2.6                  0  -2.580955186e-014                  0                  0       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
 "TSR$END"           "MARKER"                          55.4                  0                  0  -2.580955186e-014                  0                  0       -6.283185307                  0                  0                  0          0          0                  0                  0 ""                 
